run_id,policy,policy_label,scenario,seed,config_hash,horizon_s,budget_j,n_steps,n_scans,n_sleeps,dwell_time_s,retune_time_s,sleep_time_s,t_end_s,energy_total_j,energy_scan_j,energy_retune_j,energy_fixed_j,energy_sleep_j,n_channel_dwells,poi_10,poi_30,poi_60,poi_p1_10,poi_p1_30,poi_p1_60,ttfi_p1_median_s,ttfi_p1_p90_s,ttfi_p1_n_intercepted,ttfi_p1_n_total,ttfi_p1_frac,coverage_frac,coverage_p1_frac,n_unique_detections,n_unique_p1_detections,energy_per_detection_j,energy_per_prio1_detection_j,max_staleness_p1_s,mean_staleness_p1_s,n_detections,n_true_positive_dets,n_false_alarms,false_alarm_rate_per_dwell,false_alarm_rate_per_s,n_emitters,n_activations_total,scan_span_frac,reached_horizon,budget_exhausted,alpha,beta_learned,score_mode,model_id,wall_time_s
random__sparse__s4__h60,random,random,sparse,4,a0f2470574a3025b,60.0,6.0,145,72,73,4.24,1.02845,54.731549999999956,60.0,5.923765500000005,4.24,0.9924499999999998,0.14400000000000002,0.5473154999999996,489,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.0,0.0,0,0,inf,inf,60.0,59.30806076340661,1,0,1,0.002044989775051125,0.016666666666666666,8,98,0.9729925793085241,1,0,0.5,0.0,rate,,0.18364230007864535
random__sparse__s5__h60,random,random,sparse,5,a0f2470574a3025b,60.0,6.0,183,91,92,3.8360000000000003,1.43409,54.72990999999999,60.0,5.953889099999994,3.8360000000000003,1.3885899999999998,0.182,0.5472990999999999,723,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0,2,0.0,1.2570248766960778e-05,0.0,0,0,inf,inf,60.0,54.7829814682464,0,0,0,0.0,0.0,8,106,0.9903436171611929,1,0,0.5,0.0,rate,,0.2075984999537468
index__sparse__s0__h60,index,index (rung 1),sparse,0,a0f2470574a3025b,60.0,6.0,2214,1455,759,2.129,0.51295,57.358050000000674,60.0,5.997030499999971,2.129,0.38444999999999974,2.91,0.5735805000000067,4784,0.25,0.375,0.375,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.0065135404951208245,0.0021338487055844978,16,0,0.3748144062499982,inf,60.0,51.721686149999954,525,523,2,0.0004180602006688963,0.03333333333333333,8,103,0.94214416666666,1,0,0.5,0.0,rate,,5.19617449992802
index__sparse__s1__h60,index,index (rung 1),sparse,1,a0f2470574a3025b,60.0,6.0,1865,927,938,2.235,1.52772,56.23728000000079,60.0,5.999592799999938,2.235,1.34822,1.854,0.5623728000000079,7087,0.0,0.125,0.375,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.0038808903002009124,0.0002995424175210648,9,0,0.6666214222222153,inf,49.77193000000001,33.36965669999999,192,188,4,0.0005644137152532807,0.06666666666666667,8,91,0.9468413333333316,1,0,0.5,0.0,rate,,3.9933834000257775
index__sparse__s2__h60,index,index (rung 1),sparse,2,a0f2470574a3025b,60.0,6.0,1839,929,910,2.2600000000000002,1.4880200000000001,56.25198000000084,60.0,5.999039799999955,2.2600000000000002,1.3185199999999995,1.858,0.5625198000000085,6831,0.0,0.125,0.25,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.0039046449888142337,0.0,8,0,0.7498799749999944,inf,51.38775999999979,35.247690449999915,400,396,4,0.0005855658029571073,0.06666666666666667,8,90,0.9464901666666578,1,0,0.5,0.0,rate,,4.1431875000707805
index__sparse__s3__h60,index,index (rung 1),sparse,3,a0f2470574a3025b,60.0,6.0,1753,1013,740,2.316,1.25518,56.428820000000016,60.0,5.998468199999923,2.316,1.0921799999999995,2.0260000000000002,0.5642882000000001,6245,0.125,0.125,0.125,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.003064816270734858,0.0,8,0,0.7498085249999904,inf,60.0,38.83478240000009,211,204,7,0.0011208967173738991,0.11666666666666667,8,102,0.943683666666668,1,0,0.5,0.0,rate,,3.886907299980521
index__sparse__s4__h60,index,index (rung 1),sparse,4,a0f2470574a3025b,60.0,6.0,1950,1215,735,2.113,1.047,56.84000000000013,60.0,5.999899999999912,2.113,0.8884999999999996,2.43,0.5684000000000013,5574,0.125,0.125,0.25,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.004341478223490995,0.0,11,0,0.5454454545454466,inf,60.0,37.8199291000001,397,393,4,0.0007176175098672408,0.06666666666666667,8,98,0.9462023333333357,1,0,0.5,0.0,rate,,4.512893000035547
index__sparse__s5__h60,index,index (rung 1),sparse,5,a0f2470574a3025b,60.0,6.0,1383,450,933,2.21,2.55357,55.23642999999981,60.0,5.997934299999864,2.21,2.3355699999999997,0.9,0.552364299999998,8228,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.00046509920437707984,0.0,0,0,inf,inf,35.85825999999999,27.353675049999993,8,0,8,0.0009722897423432182,0.13333333333333333,8,106,0.9417291666666667,1,0,0.5,0.0,rate,,2.7872371999546885
oracle__sparse__s0__h60,oracle,clairvoyant greedy (reference ceiling),sparse,0,a0f2470574a3025b,60.0,6.0,895,603,292,3.447,0.82299,55.73000999999934,60.0,5.997790099999978,3.447,0.7874900000000009,1.206,0.5573000999999934,10782,0.875,1.0,1.0,0.5,1.0,1.0,0.060350000000001014,0.060790000000001766,2,2,1.0,0.021662717828866238,0.22080304862332154,64,6,0.09371547031249966,0.9996316833333297,60.0,53.35093899397781,89,78,11,0.0010202188833240587,0.18333333333333332,8,103,0.6218661590316977,1,0,0.5,0.0,rate,,13.515296500059776
oracle__sparse__s1__h60,oracle,clairvoyant greedy (reference ceiling),sparse,1,a0f2470574a3025b,60.0,6.0,1198,957,241,2.863,0.69024,56.44676000000036,60.0,5.997207599999982,2.863,0.6557399999999998,1.9140000000000001,0.5644676000000036,18091,0.625,1.0,1.0,0.5,1.0,1.0,7.507162579099289,13.472028642378719,2,2,1.0,0.020702528835517944,0.1786976977397562,55,6,0.10904013818181785,0.9995345999999969,60.0,46.27890750288998,85,63,22,0.0012160742910839644,0.36666666666666664,8,91,0.7383866179025633,1,0,0.5,0.0,rate,,18.998398400028236
oracle__sparse__s2__h60,oracle,clairvoyant greedy (reference ceiling),sparse,2,a0f2470574a3025b,60.0,6.0,620,528,92,2.98,1.43771,55.58229000000066,60.0,5.983032900000018,2.98,1.3912099999999996,1.056,0.5558229000000067,9266,0.875,1.0,1.0,0.5,1.0,1.0,3.8678948341653934,6.879250701497709,2,2,1.0,0.026850567767181203,0.513466634734935,80,6,0.07478791125000023,0.997172150000003,60.0,49.46371117331193,105,98,7,0.00075545003237643,0.11666666666666667,8,90,0.9999984030747662,1,0,0.5,0.0,rate,,5.508768099942245
oracle__sparse__s3__h60,oracle,clairvoyant greedy (reference ceiling),sparse,3,a0f2470574a3025b,60.0,6.0,2434,1783,651,1.836,0.01777,58.14623000000009,60.0,5.99823229999989,1.836,0.014770000000000172,3.5660000000000003,0.5814623000000009,35622,0.25,0.25,0.25,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.00011344174534366328,0.0,2,0,2.999116149999945,inf,60.0,59.771433300000005,41,2,39,0.0010948290382347986,0.65,8,102,0.030896166666665212,1,0,0.5,0.0,rate,,37.96057729993481
oracle__sparse__s4__h60,oracle,clairvoyant greedy (reference ceiling),sparse,4,a0f2470574a3025b,60.0,6.0,1784,1365,419,2.3810000000000002,0.33475,57.28424999999845,60.0,5.999592499999993,2.3810000000000002,0.31575,2.73,0.5728424999999845,26609,0.75,0.875,0.875,0.0,0.5,0.5,30.031395,54.006279,1,2,0.5,0.009865304547574836,0.04571505186666153,35,2,0.17141692857142837,2.9997962499999966,60.0,57.326809996105915,68,44,24,0.0009019504678868053,0.4,8,98,0.323658874213799,1,0,0.5,0.0,rate,,30.3347224999452
oracle__sparse__s5__h60,oracle,clairvoyant greedy (reference ceiling),sparse,5,a0f2470574a3025b,60.0,6.0,626,377,249,3.684,1.04683,55.26917000000049,60.0,5.999021699999967,3.684,1.00833,0.754,0.5526917000000049,6305,0.75,0.875,1.0,0.0,0.5,1.0,27.029989015717085,31.92935388385117,2,2,1.0,0.03220133681305391,0.25346672896351474,69,4,0.0869423434782604,1.4997554249999918,60.0,53.762724386470154,91,88,3,0.00047581284694686756,0.05,8,106,0.7309284684223509,1,0,0.5,0.0,rate,,9.26701770001091
