bw_mhz,dwell_ms,sweep_period_s,n_blocks,scans_per_sweep_s,pred_energy_j,evaluated,reject_reason,poi_10,poi_30,poi_60,poi_p1_60,energy_j,energy_cap_j,scan_span_frac,n_scans,n_unique_detections,energy_per_detection_j,coverage_frac,max_staleness_p1_s,admissible
10.0,10.0,3.0,20,6.666666666666667,5.552,1,,0.375,0.5416666666666666,0.75,0.0,5.5048071000000425,5.826135699999867,0.9976783333333272,400.0,24.333333333333332,0.2287358999576737,0.003473796174997158,2.9900000000000073,1
20.0,5.0,1.0,10,10.0,5.232000000000001,1,,0.4166666666666667,0.5,0.6666666666666666,0.0,5.1913041000000115,5.826135699999867,0.9984316666666763,600.0,24.666666666666668,0.21696692388610464,0.005119502095424063,0.9950000000000152,1
20.0,20.0,3.0,10,3.3333333333333335,5.143999999999998,1,,0.375,0.5833333333333334,0.6666666666666666,0.0,5.098184100000038,5.826135699999867,0.9953483333333399,200.0,26.666666666666668,0.19193693985676538,0.006768299242953025,2.9800000000000395,1
5.0,2.0,2.0,40,20.0,5.633999999999999,1,,0.16666666666666666,0.4166666666666667,0.625,0.0,5.597838600000071,5.826135699999867,0.9992100000000249,1200.0,17.0,0.34215044520577903,0.0010454115530098773,1.998000000000161,1
20.0,10.0,3.0,10,3.3333333333333335,3.144,1,,0.3333333333333333,0.4583333333333333,0.625,0.0,3.118184099999992,5.826135699999867,0.9951816666666655,200.0,20.0,0.15764020812356938,0.0033841834845841604,2.990000000000041,1
20.0,50.0,10.0,10,1.0,3.7632000000000008,1,,0.3333333333333333,0.4583333333333333,0.625,0.0,3.729092100000003,5.826135699999867,0.9841816666666675,60.0,10.666666666666666,0.35219203166666696,0.005404562536942853,9.950000000000031,1
2.0,10.0,15.0,100,6.666666666666667,5.431679999999999,1,,0.125,0.2916666666666667,0.5833333333333334,0.0,5.385452699999962,5.826135699999867,0.9976756666666663,400.0,7.0,0.9111750780302964,0.0005841890234387844,14.990000000000194,1
5.0,5.0,5.0,40,8.0,4.0536,1,,0.2916666666666667,0.5416666666666666,0.5833333333333334,0.0,4.02244259999996,5.826135699999867,0.9980099999999944,480.0,13.666666666666666,0.3314790661111078,0.0008878855642008632,4.995000000000067,1
5.0,20.0,15.0,40,2.6666666666666665,4.151199999999999,1,,0.125,0.3333333333333333,0.5833333333333334,0.0,4.1142666000000165,5.826135699999867,0.9940933333333307,160.0,7.333333333333333,0.6275295521212146,0.0012134086893560694,14.979999999999997,1
10.0,5.0,3.0,20,6.666666666666667,3.552,1,,0.25,0.5,0.5833333333333334,0.0,3.524807100000036,5.826135699999867,0.9975950000000157,400.0,16.333333333333332,0.21655677607843357,0.001737173992051565,2.995000000000111,1
