run_id,policy,policy_label,scenario,seed,config_hash,horizon_s,budget_j,n_steps,n_scans,n_sleeps,dwell_time_s,retune_time_s,sleep_time_s,t_end_s,energy_total_j,energy_scan_j,energy_retune_j,energy_fixed_j,energy_sleep_j,n_channel_dwells,poi_10,poi_30,poi_60,poi_p1_10,poi_p1_30,poi_p1_60,ttfi_p1_median_s,ttfi_p1_p90_s,ttfi_p1_n_intercepted,ttfi_p1_n_total,ttfi_p1_frac,coverage_frac,coverage_p1_frac,n_unique_detections,n_unique_p1_detections,energy_per_detection_j,energy_per_prio1_detection_j,max_staleness_p1_s,mean_staleness_p1_s,n_detections,n_true_positive_dets,n_false_alarms,false_alarm_rate_per_dwell,false_alarm_rate_per_s,n_emitters,n_activations_total,scan_span_frac,reached_horizon,budget_exhausted,alpha,beta_learned,score_mode,model_id,wall_time_s
greedy__dense__s0__h60,greedy,"greedy ablation (no decay, no scheduler)",dense,0,2f0c71dd1bcf3610,60.0,6.0,936,316,620,3.2600000000000002,1.67063,55.06937000000004,60.0,5.992823700000144,3.2600000000000002,1.5501299999999998,0.632,0.5506937000000004,31600,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,60.0,60.0,0,6,0.0,0.003836873747529636,0.0049071006470993795,11,0,0.5448021545454677,inf,55.292490000000036,55.11473380000003,64,40,24,0.0007594936708860759,0.4,24,511,0.08217716666666598,1,0,0.0,0.0,rate,,1.3141086999094114
greedy__dense__s1__h60,greedy,"greedy ablation (no decay, no scheduler)",dense,1,2f0c71dd1bcf3610,60.0,6.0,927,316,611,3.27,1.66917,55.06083000000004,60.0,5.992778300000149,3.27,1.5401700000000003,0.632,0.5506083000000004,31550,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.0,0.0,0.0,60.0,60.0,0,6,0.0,0.003368568718716488,0.0,12,0,0.49939819166667904,inf,56.40845000000002,56.303080900000026,69,39,30,0.0009508716323296355,0.5,24,475,0.08231949999999935,1,0,0.0,0.0,rate,,1.2779652000172064
greedy__dense__s2__h60,greedy,"greedy ablation (no decay, no scheduler)",dense,2,2f0c71dd1bcf3610,60.0,6.0,941,320,621,3.35,1.57929,55.07071000000004,60.0,5.991497100000144,3.35,1.45079,0.64,0.5507071000000004,32000,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,60.0,60.0,0,6,0.0,0.0057704651058814675,0.002047362500023956,12,0,0.499291425000012,inf,55.73947000000003,55.71542980000004,81,39,42,0.0013125,0.7,24,489,0.08215483333333265,1,0,0.0,0.0,rate,,1.1997625000076368
greedy__dense__s3__h60,greedy,"greedy ablation (no decay, no scheduler)",dense,3,2f0c71dd1bcf3610,60.0,6.0,927,316,611,3.24,1.69973,55.06027000000004,60.0,5.9888327000001516,3.24,1.56623,0.632,0.5506027000000004,31600,0.375,0.375,0.375,0.0,0.0,0.0,60.0,60.0,0,6,0.0,0.004271441813104649,0.004899784201731419,11,0,0.5444393363636502,inf,57.34367000000001,55.50438000000004,78,45,33,0.0010443037974683545,0.55,24,500,0.08232883333333266,1,0,0.0,0.0,rate,,1.3596646999940276
greedy__dense__s4__h60,greedy,"greedy ablation (no decay, no scheduler)",dense,4,2f0c71dd1bcf3610,60.0,6.0,960,323,637,3.37,1.54367,55.08633000000004,60.0,5.990533300000131,3.37,1.4236699999999995,0.646,0.5508633000000004,32300,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.0,0.0,0.0,60.0,60.0,0,6,0.0,0.002939209542828419,0.002309605802500566,9,0,0.6656148111111256,inf,55.341910000000034,55.26731080000003,83,42,41,0.0012693498452012383,0.6833333333333333,24,478,0.08189449999999936,1,0,0.0,0.0,rate,,1.2783847999526188
index__dense__s0__h60,index,index (rung 1),dense,0,2f0c71dd1bcf3610,60.0,6.0,562,338,224,3.71,1.21417,55.075830000000146,60.0,5.997428299999969,3.71,1.06067,0.676,0.5507583000000015,23670,0.16666666666666666,0.3333333333333333,0.375,0.0,0.0,0.0,60.0,60.0,0,6,0.0,0.007651672579900247,0.0007783744971752859,29,0,0.20680787241379203,inf,30.51644,26.57268769999998,179,157,22,0.0009294465568229827,0.36666666666666664,24,511,0.9441771666666661,1,0,0.5,0.0,rate,,1.2054833000293002
index__dense__s1__h60,index,index (rung 1),dense,1,2f0c71dd1bcf3610,60.0,6.0,483,295,188,3.72,1.27277,55.007230000000064,60.0,5.989842299999983,3.72,1.1297700000000002,0.59,0.5500723000000006,22300,0.125,0.4583333333333333,0.5416666666666666,0.0,0.0,0.0,60.0,60.0,0,6,0.0,0.006758363803626085,0.0006901698845015969,39,0,0.15358569999999958,inf,30.71974,26.792572050000008,145,122,23,0.0010313901345291479,0.38333333333333336,24,475,0.9444065000000003,1,0,0.5,0.0,rate,,1.1126374000450596
index__dense__s2__h60,index,index (rung 1),dense,2,2f0c71dd1bcf3610,60.0,6.0,496,323,173,3.63,1.32273,55.04727000000002,60.0,5.991202699999983,3.63,1.1647300000000005,0.646,0.5504727000000001,24240,0.2916666666666667,0.2916666666666667,0.375,0.0,0.0,0.0,60.0,60.0,0,6,0.0,0.010523387453385054,0.0006824541666747588,25,0,0.2396481079999993,inf,31.930729999999897,29.560571249999974,169,139,30,0.0012376237623762376,0.5,24,489,0.9445646666666663,1,0,0.5,0.0,rate,,1.047180199995637
index__dense__s3__h60,index,index (rung 1),dense,3,2f0c71dd1bcf3610,60.0,6.0,556,350,206,3.69,1.22703,55.08297000000018,60.0,5.996859699999984,3.69,1.0560300000000002,0.7000000000000001,0.5508297000000019,21480,0.125,0.25,0.3333333333333333,0.0,0.0,0.0,60.0,60.0,0,6,0.0,0.007195876484539592,0.0,34,0,0.17637822647058776,inf,30.517,29.73754740000004,191,168,23,0.0010707635009310987,0.38333333333333336,24,500,0.9422288333333293,1,0,0.5,0.0,rate,,1.0905787000665441
index__dense__s4__h60,index,index (rung 1),dense,4,2f0c71dd1bcf3610,60.0,6.0,531,331,200,3.5700000000000003,1.35823,55.07176999999998,60.0,5.979947699999977,3.5700000000000003,1.1972300000000002,0.662,0.5507176999999998,22890,0.125,0.20833333333333334,0.375,0.0,0.0,0.0,60.0,60.0,0,6,0.0,0.005665099452121469,0.0023096058025009253,33,0,0.18121053636363568,inf,24.803410000000078,21.683857900000024,170,138,32,0.001397990388816077,0.5333333333333333,24,478,0.9423998333333343,1,0,0.5,0.0,rate,,1.041019199998118
oracle__dense__s0__h60,oracle,clairvoyant greedy (reference ceiling),dense,0,2f0c71dd1bcf3610,60.0,6.0,3338,314,3024,4.59,0.24355,55.166450000000026,60.0,5.994714499999016,4.59,0.22505000000000042,0.628,0.5516645000000002,29960,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.0,0.0,0.0,60.0,60.0,0,6,0.0,0.010553301282783466,0.025521089641342084,23,0,0.2606397608695224,inf,55.39161000000003,55.28581060000004,95,76,19,0.0006341789052069426,0.31666666666666665,24,511,0.08055916666666617,1,0,0.5,0.0,rate,,37.505637599970214
oracle__dense__s1__h60,oracle,clairvoyant greedy (reference ceiling),dense,1,2f0c71dd1bcf3610,60.0,6.0,3241,412,2829,4.39,0.25255,55.35745000000005,60.0,5.9956244999990735,4.39,0.22805000000000053,0.8240000000000001,0.5535745000000005,39860,0.5,0.5,0.5,0.0,0.0,0.0,60.0,60.0,0,6,0.0,0.0020317471588317043,0.023791204092838154,18,0,0.3330902499999485,inf,60.0,56.66389395000004,54,19,35,0.0008780732563973909,0.5833333333333334,24,475,0.0773758333333325,1,0,0.5,0.0,rate,,44.285411400021985
oracle__dense__s2__h60,oracle,clairvoyant greedy (reference ceiling),dense,2,2f0c71dd1bcf3610,60.0,6.0,3235,403,2832,4.5,0.16065,55.339350000000046,60.0,5.995543499999079,4.5,0.13614999999999977,0.806,0.5533935000000004,39320,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,60.0,60.0,1,6,0.16666666666666666,0.009037814871082406,0.040330346814670556,17,1,0.35267902941171053,5.995543499999079,60.0,56.58971885000003,207,157,50,0.001271617497456765,0.8333333333333334,24,489,0.07767749999999922,1,0,0.5,0.0,rate,,38.97252439998556
oracle__dense__s3__h60,oracle,clairvoyant greedy (reference ceiling),dense,3,2f0c71dd1bcf3610,60.0,6.0,3319,393,2926,4.5,0.18021,55.31979000000005,60.0,5.996907899999055,4.5,0.1577099999999998,0.786,0.5531979000000005,37610,0.625,0.625,0.625,0.16666666666666666,0.16666666666666666,0.16666666666666666,60.0,60.0,1,6,0.16666666666666666,0.007991323230534997,0.043149046820543394,21,1,0.2855670428570979,5.996907899999055,60.0,56.85125350000002,184,137,47,0.001249667641584685,0.7833333333333333,24,500,0.07800349999999917,1,0,0.5,0.0,rate,,39.998453599982895
oracle__dense__s4__h60,oracle,clairvoyant greedy (reference ceiling),dense,4,2f0c71dd1bcf3610,60.0,6.0,3304,415,2889,4.43,0.20779,55.36221000000005,60.0,5.998912099999054,4.43,0.18529000000000018,0.8300000000000001,0.5536221000000004,40300,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,0.0,0.0,60.0,60.0,0,6,0.0,0.0025621284879588225,0.03048679349927835,14,0,0.4284937214285039,inf,57.81921,55.89204960000003,86,34,52,0.0012903225806451613,0.8666666666666667,24,478,0.07729649999999924,1,0,0.5,0.0,rate,,35.17613119992893
round_robin__sparse__s0__h60,round_robin,round robin (fair-tuned),sparse,0,149ce5de72688711,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.375,0.375,0.375,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.00040527578230470986,0.0,3,0,1.9997396999999806,inf,56.35399999999999,56.21149999999999,7,3,4,0.0009090909090909091,0.06666666666666667,8,103,0.11110499999999925,1,0,0.5,0.0,rate,,0.3066446000011638
round_robin__sparse__s1__h60,round_robin,round robin (fair-tuned),sparse,1,149ce5de72688711,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.375,0.375,0.375,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.0003141733134812932,0.0,3,0,1.9997396999999806,inf,56.35399999999999,56.21149999999999,8,4,4,0.0009090909090909091,0.06666666666666667,8,91,0.11110499999999925,1,0,0.5,0.0,rate,,0.27033379999920726
round_robin__sparse__s2__h60,round_robin,round robin (fair-tuned),sparse,2,149ce5de72688711,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.25,0.25,0.25,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.0002527808113061858,0.0,3,0,1.9997396999999806,inf,56.35399999999999,56.21149999999999,6,3,3,0.0006818181818181819,0.05,8,90,0.11110499999999925,1,0,0.5,0.0,rate,,0.29165030003059655
round_robin__sparse__s3__h60,round_robin,round robin (fair-tuned),sparse,3,149ce5de72688711,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.5,0.5,0.5,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.0003069983068440776,0.0,4,0,1.4998047749999854,inf,56.35399999999999,56.21149999999999,10,4,6,0.0013636363636363637,0.1,8,102,0.11110499999999925,1,0,0.5,0.0,rate,,0.277051999932155
round_robin__sparse__s4__h60,round_robin,round robin (fair-tuned),sparse,4,149ce5de72688711,60.0,6.0,879,440,439,4.4,0.38709,55.21291000000003,60.0,5.999219099999942,4.4,0.16708999999999996,0.88,0.5521291000000003,4400,0.5,0.5,0.5,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.0003964820295426852,0.0,5,0,1.1998438199999883,inf,56.35399999999999,56.21149999999999,9,6,3,0.0006818181818181819,0.05,8,98,0.11110499999999925,1,0,0.5,0.0,rate,,0.2721129000419751
random__sparse__s0__h60,random,random,sparse,0,149ce5de72688711,60.0,6.0,155,77,78,4.341,0.93164,54.727359999999976,60.0,5.935413600000002,4.341,0.8931399999999998,0.154,0.5472735999999998,683,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.0,0.0,0,0,inf,inf,60.0,56.59219736757583,0,0,0,0.0,0.0,8,103,0.9837720824352112,1,0,0.5,0.0,rate,,0.12656230002176017
random__sparse__s1__h60,random,random,sparse,1,149ce5de72688711,60.0,6.0,149,74,75,3.982,1.25051,54.767489999999995,60.0,5.8911849000000025,3.982,1.2135100000000003,0.148,0.5476749,563,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0,2,0.0,6.766806981654804e-05,0.0,0,0,inf,inf,60.0,55.37699760892251,1,0,1,0.0017761989342806395,0.016666666666666666,8,91,0.972794917933786,1,0,0.5,0.0,rate,,0.11009439988993108
random__sparse__s2__h60,random,random,sparse,2,149ce5de72688711,60.0,6.0,173,86,87,4.140000000000001,1.14486,54.715139999999934,60.0,5.961011400000002,4.140000000000001,1.1018600000000003,0.17200000000000001,0.5471513999999994,719,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.0,0.0,0,0,inf,inf,60.0,50.94060243334594,0,0,0,0.0,0.0,8,90,0.9721872833022757,1,0,0.5,0.0,rate,,0.12690230004955083
random__sparse__s3__h60,random,random,sparse,3,149ce5de72688711,60.0,6.0,165,82,83,4.0680000000000005,1.14917,54.78283,60.0,5.8879983,4.0680000000000005,1.1081700000000003,0.164,0.5478282999999999,538,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.0,0.0,0,0,inf,inf,60.0,56.08905478549177,1,0,1,0.0018587360594795538,0.016666666666666666,8,102,0.9694577243549999,1,0,0.5,0.0,rate,,0.13063690008129925
random__sparse__s4__h60,random,random,sparse,4,149ce5de72688711,60.0,6.0,145,72,73,4.24,1.02845,54.731549999999956,60.0,5.923765500000005,4.24,0.9924499999999998,0.14400000000000002,0.5473154999999996,489,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.0,0.0,0,0,inf,inf,60.0,59.30806076340661,1,0,1,0.002044989775051125,0.016666666666666666,8,98,0.9729925793085241,1,0,0.5,0.0,rate,,0.10520550003275275
greedy__sparse__s0__h60,greedy,"greedy ablation (no decay, no scheduler)",sparse,0,149ce5de72688711,60.0,6.0,6144,586,5558,2.742,1.68795,55.570050000000045,60.0,5.999650499998761,2.742,1.5299500000000004,1.172,0.5557005000000005,6562,0.375,0.375,0.375,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.0014920695276268586,0.0,3,0,1.9998834999995871,inf,57.21899000000001,56.34558140000003,57,50,7,0.0010667479427003963,0.11666666666666667,8,103,0.07383249999999923,1,0,0.0,0.0,rate,,5.770490200025961
greedy__sparse__s1__h60,greedy,"greedy ablation (no decay, no scheduler)",sparse,1,149ce5de72688711,60.0,6.0,6004,470,5534,2.665,2.05887,55.27613000000004,60.0,5.998131299998748,2.665,1.8403699999999992,0.9400000000000001,0.5527613000000003,9016,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0,2,0.0,2.356299851109477e-05,0.0,0,0,inf,inf,56.674910000000025,56.10036740000003,7,0,7,0.0007763975155279503,0.11666666666666667,8,91,0.07873116666666599,1,0,0.0,0.0,rate,,5.400723400060087
greedy__sparse__s2__h60,greedy,"greedy ablation (no decay, no scheduler)",sparse,2,149ce5de72688711,60.0,6.0,5904,388,5516,2.915,1.93458,55.15042000000003,60.0,5.997584199998747,2.915,1.7550800000000004,0.776,0.5515042000000003,7134,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0,2,0.0,4.2130135217697334e-05,0.0,0,0,inf,inf,56.91361000000001,55.61079830000003,8,0,8,0.00112139052425007,0.13333333333333333,8,90,0.08082633333333282,1,0,0.0,0.0,rate,,5.06883109989576
greedy__sparse__s3__h60,greedy,"greedy ablation (no decay, no scheduler)",sparse,3,149ce5de72688711,60.0,6.0,6717,1061,5656,2.423,1.03516,56.5418400000001,60.0,5.9985783999988005,2.423,0.8881600000000001,2.122,0.565418400000001,7146,0.25,0.25,0.25,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.006486881981252463,0.0,2,0,2.9992891999994002,inf,58.41647000000001,57.623897050000025,390,386,4,0.000559753708368318,0.06666666666666667,8,102,0.05763599999999832,1,0,0.0,0.0,rate,,6.02886059996672
greedy__sparse__s4__h60,greedy,"greedy ablation (no decay, no scheduler)",sparse,4,149ce5de72688711,60.0,6.0,7252,1495,5757,2.125,0.36886,57.50614000000015,60.0,5.999421399998797,2.125,0.30935999999999986,2.99,0.5750614000000015,3706,0.125,0.125,0.125,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.009238031288343662,0.0,1,0,5.999421399998797,inf,59.32509,59.088653700000016,1277,1275,2,0.0005396654074473826,0.03333333333333333,8,98,0.04156433333333082,1,0,0.0,0.0,rate,,7.067206599982455
index__sparse__s0__h60,index,index (rung 1),sparse,0,149ce5de72688711,60.0,6.0,2214,1455,759,2.129,0.51295,57.358050000000674,60.0,5.997030499999971,2.129,0.38444999999999974,2.91,0.5735805000000067,4784,0.25,0.375,0.375,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.0065135404951208245,0.0021338487055844978,16,0,0.3748144062499982,inf,60.0,51.721686149999954,525,523,2,0.0004180602006688963,0.03333333333333333,8,103,0.94214416666666,1,0,0.5,0.0,rate,,3.4798969000112265
index__sparse__s1__h60,index,index (rung 1),sparse,1,149ce5de72688711,60.0,6.0,1865,927,938,2.235,1.52772,56.23728000000079,60.0,5.999592799999938,2.235,1.34822,1.854,0.5623728000000079,7087,0.0,0.125,0.375,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.0038808903002009124,0.0002995424175210648,9,0,0.6666214222222153,inf,49.77193000000001,33.36965669999999,192,188,4,0.0005644137152532807,0.06666666666666667,8,91,0.9468413333333316,1,0,0.5,0.0,rate,,2.640389500069432
index__sparse__s2__h60,index,index (rung 1),sparse,2,149ce5de72688711,60.0,6.0,1839,929,910,2.2600000000000002,1.4880200000000001,56.25198000000084,60.0,5.999039799999955,2.2600000000000002,1.3185199999999995,1.858,0.5625198000000085,6831,0.0,0.125,0.25,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.0039046449888142337,0.0,8,0,0.7498799749999944,inf,51.38775999999979,35.247690449999915,400,396,4,0.0005855658029571073,0.06666666666666667,8,90,0.9464901666666578,1,0,0.5,0.0,rate,,2.758073700009845
index__sparse__s3__h60,index,index (rung 1),sparse,3,149ce5de72688711,60.0,6.0,1753,1013,740,2.316,1.25518,56.428820000000016,60.0,5.998468199999923,2.316,1.0921799999999995,2.0260000000000002,0.5642882000000001,6245,0.125,0.125,0.125,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.003064816270734858,0.0,8,0,0.7498085249999904,inf,60.0,38.83478240000009,211,204,7,0.0011208967173738991,0.11666666666666667,8,102,0.943683666666668,1,0,0.5,0.0,rate,,2.7123856999678537
index__sparse__s4__h60,index,index (rung 1),sparse,4,149ce5de72688711,60.0,6.0,1950,1215,735,2.113,1.047,56.84000000000013,60.0,5.999899999999912,2.113,0.8884999999999996,2.43,0.5684000000000013,5574,0.125,0.125,0.25,0.0,0.0,0.0,60.0,60.0,0,2,0.0,0.004341478223490995,0.0,11,0,0.5454454545454466,inf,60.0,37.8199291000001,397,393,4,0.0007176175098672408,0.06666666666666667,8,98,0.9462023333333357,1,0,0.5,0.0,rate,,2.9506753999739885
oracle__sparse__s0__h60,oracle,clairvoyant greedy (reference ceiling),sparse,0,149ce5de72688711,60.0,6.0,895,603,292,3.447,0.82299,55.73000999999934,60.0,5.997790099999978,3.447,0.7874900000000009,1.206,0.5573000999999934,10782,0.875,1.0,1.0,0.5,1.0,1.0,0.060350000000001014,0.060790000000001766,2,2,1.0,0.021662717828866238,0.22080304862332154,64,6,0.09371547031249966,0.9996316833333297,60.0,53.35093899397781,89,78,11,0.0010202188833240587,0.18333333333333332,8,103,0.6218661590316977,1,0,0.5,0.0,rate,,9.350713099935092
